Classifier,Experiment,Simulations,Preprocessing,Dimensionality,Dataset,rs,aggregation,acc,f1,p_acc,p_f1,test_acc,test_f1,p_test_acc,p_test_f1,test_mean_acc,test_mean_f1,n_models
lrc,mca,2,graph,pca,D100,41,mean,0.7825,0.8279365079365079,0.0108,0.0232,0.85,0.8965517241379308,0.0,0.001,0.77,0.8315327073947764,5
lrc,mca,5,rankgraph,fa,D100,41,mean,0.6291666666666667,0.7219429997919701,0.16399999999999998,0.173,0.75,0.8275862068965518,0.006999999999999999,0.006999999999999999,0.7300000000000001,0.8061521620142311,5
rfc,mca,14,zgraph,fa,D100,41,none,0.7436904761904761,0.8286896294726304,0.045522857142857136,0.04328285714285714,0.75,0.8484848484848487,0.008,0.001,0.7302857142857141,0.8345869990224832,350
rfc,mca,14,zgraph,fa,D100,41,meta,0.7066666666666667,0.8001953698475438,0.0658,0.05860000000000001,0.75,0.8484848484848483,0.008000000000000005,0.0010000000000000005,0.72,0.8254006074570593,5
svc,mca,10,rankgraph,pca,D100,41,mega,0.741650036954915,0.8290290050633873,0.0002,0.0,0.7,0.8235294117647058,0.0,0.0,0.6454545454545455,0.7774243638277719,5
svc,mca,18,graph,pca,D100,41,mean,0.7583333333333333,0.8120574162679427,0.0228,0.0362,0.75,0.8387096774193549,0.008,0.01,0.6900000000000001,0.7517741517741517,5
svc,mca,16,zgraph,fa,D100,41,none,0.7048229166666666,0.7458402621415391,0.06465000000000001,0.11800000000000001,0.75,0.8275862068965518,0.007000000000000001,0.009999999999999998,0.7301249999999998,0.7904010214825432,400
svc,mca,16,zgraph,fa,D100,41,meta,0.7808333333333333,0.8393790801113455,0.0332,0.0354,0.75,0.8275862068965518,0.006999999999999999,0.01,0.7693749999999999,0.8388854679802955,5
rfc,mca,7,graph,pca,D100,41,consensus,0.7316666666666667,0.8313018704323053,0.0364,0.017800000000000003,0.75,0.8387096774193549,0.005,0.008,0.7,0.8036587068845134,5
knn,mca,18,rankgraph,fa,D100,41,median,0.7041666666666666,0.8138054538054538,0.038,0.029400000000000006,0.65,0.7878787878787878,0.054000000000000006,0.026000000000000002,0.71,0.8184090909090909,5
lrc,mca,14,zgraph,pca,D100,41,mega,0.7497023809523808,0.8230013372261171,0.0,0.0,0.8,0.8666666666666666,0.0,0.0,0.7546666666666666,0.8283529748226293,5
svc,mca,18,loggraph,fa,D100,41,median,0.6666666666666666,0.7664542627471688,0.0784,0.0702,0.7,0.8235294117647058,0.018000000000000002,0.011000000000000001,0.6599999999999999,0.7903030303030303,5
svc,mca,20,loggraph,pca,D100,41,none,0.757375,0.8188279790385056,0.012726000000000001,0.018514000000000003,0.6004999999999999,0.7503787878787879,0.14218000000000006,0.050700000000000016,0.6404999999999998,0.737931350609799,500
svc,mca,20,loggraph,pca,D100,41,meta,0.7566666666666666,0.8331428571428571,0.013799999999999998,0.0158,0.5999999999999999,0.75,0.14299999999999996,0.051,0.6395000000000001,0.7709501466275659,5
knn,mca,12,loggraph,pca,D100,41,none,0.7172777777777778,0.8278487438487436,0.024556666666666668,0.016083333333333342,0.6516666666666666,0.7887259693711307,0.053183333333333326,0.02668333333333333,0.6808333333333333,0.8074946575286328,300
knn,mca,12,loggraph,pca,D100,41,meta,0.6916666666666667,0.7879503105590062,0.0358,0.0386,0.7000000000000001,0.8125000000000001,0.021,0.016000000000000004,0.6891666666666665,0.8047285353535353,5
ada,mca,20,graph,fa,D100,41,mega,0.7136361338590638,0.7951346751430981,0.0,0.0,0.7380952380952381,0.8323170731707317,0.0,0.0,0.6952380952380952,0.8010634577128131,5
ada,mca,2,zgraph,pca,D100,41,median,0.6541666666666666,0.7463393662020663,0.1268,0.105,0.8,0.8666666666666666,0.0,0.003,0.6799999999999999,0.7732056194125161,5
rfc,mca,7,loggraph,fa,D100,41,mean,0.705,0.8026839826839826,0.06420000000000001,0.042600000000000006,0.75,0.8387096774193549,0.005,0.008,0.74,0.8297619047619047,5
ada,mca,12,zgraph,pca,D100,41,mean,0.7575,0.8230960008717446,0.046,0.045,0.75,0.8387096774193549,0.005,0.008,0.72,0.8113218390804597,5
ada,mca,5,graph,pca,D100,41,mega,0.7063420724094882,0.7873065846792352,0.0614,0.0136,0.7916666666666666,0.8603351955307262,0.0,0.0,0.7233333333333333,0.8089803755880043,5
knn,mca,5,loggraph,fa,D100,41,none,0.6540666666666667,0.7740443127886607,0.113192,0.06931999999999999,0.65,0.7878787878787878,0.056000000000000015,0.017,0.6596,0.7920303030303031,125
knn,mca,5,loggraph,fa,D100,41,meta,0.6791666666666666,0.7872145748987853,0.06820000000000001,0.044000000000000004,0.65,0.7878787878787878,0.056000000000000015,0.017,0.67,0.7953595250416883,5
rfc,mca,2,rankgraph,pca,D100,41,none,0.7413333333333334,0.8342899692899691,0.0237,0.018380000000000004,0.7,0.8235294117647058,0.029000000000000005,0.011000000000000001,0.6809999999999998,0.8043822666896672,50
rfc,mca,2,rankgraph,pca,D100,41,meta,0.7291666666666667,0.8221937321937322,0.0454,0.0396,0.7,0.8235294117647058,0.028999999999999998,0.011000000000000001,0.6799999999999999,0.8033511586452763,5
ada,mca,2,rankgraph,pca,D100,41,median,0.6666666666666667,0.7636363636363637,0.0904,0.0824,0.7,0.8125000000000001,0.028999999999999998,0.013999999999999999,0.62,0.7405116796440491,5
rfc,mca,5,zgraph,fa,D100,41,consensus,0.7558333333333334,0.838824769433465,0.0156,0.012,0.75,0.8484848484848484,0.006999999999999999,0.006999999999999999,0.73,0.8277614858260021,5
lrc,mca,18,graph,pca,D100,41,mega,0.7497213985668397,0.8142332628715414,0.0,0.0,0.8,0.8666666666666666,0.0,0.0,0.7410526315789474,0.8160978146721298,5
knn,mca,7,graph,pca,D100,41,mean,0.6791666666666666,0.7903768115942029,0.07300000000000001,0.042400000000000014,0.75,0.8387096774193549,0.005,0.008,0.7300000000000001,0.8282258064516128,5
rfc,mca,14,zgraph,pca,D100,41,median,0.7300000000000001,0.8264771460423634,0.0502,0.0332,0.7,0.7999999999999999,0.023,0.019,0.71,0.7980538714159404,5
ada,mca,7,graph,fa,D100,41,consensus,0.6416666666666666,0.7356459330143542,0.1272,0.1148,0.7,0.7999999999999999,0.028999999999999998,0.025,0.61,0.7033888769900765,5
svc,mca,2,graph,pca,D100,41,mega,0.7862121212121211,0.8293045906839008,0.0008,0.0038,0.7666666666666667,0.8478260869565217,0.0,0.0,0.6766666666666666,0.7539220779220781,5
ada,mca,12,rankgraph,pca,D100,41,mean,0.7033333333333334,0.7923076686005747,0.055400000000000005,0.047,0.7,0.8125000000000001,0.021,0.016,0.65,0.7622243903667708,5
rfc,mca,20,graph,pca,D100,41,ref,0.7441666666666666,0.8296655518394648,0.0336,0.0236,0.75,0.8387096774193549,0.004,0.004,0.74,0.8312430478309233,5
ada,mca,20,graph,pca,D100,41,median,0.7166666666666667,0.8056073781291173,0.0826,0.0602,0.75,0.8387096774193549,0.004,0.004,0.72,0.8136892843900629,5
ada,mca,2,rankgraph,fa,D100,41,mega,0.6815656565656566,0.7822648074225913,0.0376,0.0166,0.8,0.8666666666666666,0.0,0.0,0.74,0.822838083188104,5
rfc,mca,5,zgraph,pca,D100,41,none,0.6815333333333333,0.7880192966453836,0.106992,0.07126400000000002,0.75,0.8387096774193549,0.007000000000000001,0.007000000000000001,0.7304,0.8274847864202703,125
rfc,mca,5,zgraph,pca,D100,41,meta,0.7191666666666666,0.8080346320346319,0.0912,0.06520000000000001,0.75,0.8387096774193548,0.007000000000000001,0.007000000000000001,0.7440000000000001,0.8295520419513747,5
