Classifier,Experiment,Simulations,Preprocessing,Dimensionality,Dataset,rs,aggregation,acc,f1,p_acc,p_f1,test_acc,test_f1,p_test_acc,p_test_f1,test_mean_acc,test_mean_f1,n_models
lrc,mca,10,graph,pca,D100,41,truncate,0.6383333333333334,0.6561337355455003,0.1718,0.1572,0.7,0.7272727272727272,0.023,0.02,0.6200000000000001,0.6243062200956937,5
svc,mca,5,loggraph,pca,D100,41,consensus,0.55,0.4948872180451127,0.2854,0.4526,0.55,0.4705882352941176,0.252,0.598,0.5700000000000001,0.4546031746031745,5
ada,mca,20,zgraph,fa,D100,41,ref,0.5633333333333332,0.6008255933952528,0.2536,0.2488,0.75,0.761904761904762,0.006,0.007,0.72,0.7269218500797449,5
knn,mca,7,rankgraph,fa,D100,41,truncate,0.575,0.5496703296703298,0.2563999999999999,0.4048,0.6,0.6,0.145,0.18,0.6,0.571544547643619,5
ada,mca,14,loggraph,pca,D100,41,consensus,0.655,0.6990849673202615,0.1106,0.0834,0.75,0.7826086956521738,0.013,0.006,0.65,0.628775707384403,5
ada,mca,10,graph,pca,D100,41,truncate,0.5283333333333333,0.4208020050125313,0.4238,0.6702,0.5,0.5454545454545454,0.429,0.339,0.54,0.5208216619981326,5
rfc,mca,7,graph,fa,D100,41,median,0.5383333333333333,0.504313725490196,0.3014,0.4644,0.65,0.631578947368421,0.071,0.134,0.59,0.5443759901425805,5
svc,mca,12,rankgraph,fa,D100,41,truncate,0.6008333333333333,0.5698701298701299,0.2068,0.3552,0.55,0.5263157894736842,0.236,0.367,0.5599999999999999,0.4993808049535603,5
knn,mca,2,rankgraph,pca,D100,41,median,0.65,0.7009631922944617,0.1684,0.1346,0.6,0.6,0.141,0.198,0.57,0.5814216701173222,5
ada,mca,14,zgraph,fa,D100,41,mega,0.5813561134356113,0.5971135917713901,0.1616,0.0574,0.7233333333333334,0.7580174927113703,0.0,0.0,0.638,0.6633438386591166,5
knn,mca,7,rankgraph,fa,D100,41,none,0.5886428571428571,0.5807808661926309,0.2830114285714286,0.3571085714285714,0.5514285714285716,0.5284210526315789,0.2537999999999999,0.3771999999999999,0.5500000000000002,0.5011779448621554,175
knn,mca,7,rankgraph,fa,D100,41,meta,0.5883333333333334,0.58,0.2835999999999999,0.359,0.5499999999999999,0.5263157894736842,0.257,0.383,0.5585714285714286,0.5073357413140693,5
knn,mca,7,graph,pca,D100,41,mega,0.5650213254593176,0.5088836524300442,0.259,0.5740000000000001,0.6125,0.5507246376811594,0.0,0.145,0.60375,0.5343450834879406,5
lrc,mca,5,graph,pca,D100,41,mean,0.4866666666666666,0.486764705882353,0.4504,0.5279999999999999,0.55,0.5263157894736842,0.252,0.397,0.6,0.5738011695906433,5
knn,mca,20,zgraph,fa,D100,41,truncate,0.5525,0.4766214177978883,0.2942000000000001,0.4816,0.65,0.6666666666666666,0.062,0.066,0.6,0.5869523611400042,5
rfc,mca,16,loggraph,fa,D100,41,mega,0.6141838506620361,0.6001671595353154,0.1126,0.1726,0.6676470588235294,0.6626865671641792,0.0,0.0,0.6776470588235294,0.6576339453665306,5
ada,mca,18,zgraph,fa,D100,41,truncate,0.5258333333333334,0.518095238095238,0.3572,0.4588,0.8,0.8000000000000002,0.002,0.002,0.6699999999999999,0.6313312693498452,5
lrc,mca,12,rankgraph,pca,D100,41,none,0.6020972222222222,0.6016537497590129,0.1939666666666666,0.26402,0.5991666666666667,0.5550682261208577,0.1219333333333333,0.2942333333333333,0.6098333333333333,0.58701559454191,300
lrc,mca,12,rankgraph,pca,D100,41,meta,0.6275000000000001,0.6297058823529412,0.161,0.2476,0.5958333333333332,0.5938596491228069,0.1296666666666667,0.2001666666666667,0.5916666666666667,0.5776900584795323,5
ada,mca,12,loggraph,pca,D100,41,mega,0.5764362690449647,0.5810959537751301,0.034,0.2374,0.7538461538461538,0.7538461538461538,0.0,0.0,0.6438461538461538,0.626669472454932,5
ada,mca,16,loggraph,fa,D100,41,mega,0.5781216988640475,0.5632921210993129,0.1914,0.2468,0.6529411764705882,0.6467065868263472,0.0,0.0,0.6417647058823529,0.6286087934703585,5
svc,mca,12,rankgraph,fa,D100,41,mean,0.575,0.5466621098200045,0.2454,0.3763999999999999,0.55,0.5263157894736842,0.236,0.367,0.53,0.4552321981424148,5
lrc,mca,2,zgraph,pca,D100,41,mean,0.5883333333333334,0.5985060690943044,0.1996,0.26,0.65,0.6956521739130435,0.062,0.042,0.6599999999999999,0.7025032938076416,5
knn,mca,16,loggraph,fa,D100,41,mega,0.6218609362564214,0.6228956170436287,0.0116,0.1146,0.6882352941176471,0.66875,0.0,0.0,0.631764705882353,0.5968812908225344,5
lrc,mca,18,loggraph,pca,D100,41,mega,0.6244493659892305,0.6346733508382666,0.0236,0.0674,0.6842105263157895,0.6721311475409837,0.0,0.0,0.6436842105263159,0.6244347533638983,5
ada,mca,2,rankgraph,pca,D100,41,median,0.615,0.714660168207079,0.2124,0.1034,0.55,0.6896551724137931,0.263,0.052,0.5900000000000001,0.6839664612138374,5
ada,mca,14,rankgraph,fa,D100,41,truncate,0.5766666666666667,0.543288084464555,0.2304,0.3945999999999999,0.75,0.8,0.013,0.006,0.6100000000000001,0.6377018633540372,5
rfc,mca,14,graph,fa,D100,41,mega,0.5832763830776383,0.5843887290053108,0.1074,0.1668,0.6366666666666667,0.6495176848874598,0.0,0.0,0.6473333333333333,0.6654064294363427,5
rfc,mca,14,rankgraph,fa,D100,41,mean,0.5,0.5057142857142857,0.4176,0.4633999999999999,0.65,0.631578947368421,0.065,0.149,0.6300000000000001,0.6131996658312447,5
